(y, x, P(y))
395.0, 2337.083333333268, -3.1777710019350227 E13
396.0, 2342.9999999999463, -3.3147964709843426 E13
397.0, 2348.9166666666224, -3.4574366627050668 E13
398.0, 2354.8333333332967, -3.6059096595464664 E13
399.0, 2360.74999999997, -3.760441551106372 E13
400.0, 2366.666666666642, -3.921266711183099 E13
401.0, 2372.583333333313, -4.088628083830172 E13
402.0, 2378.499999999983, -4.262777478687162 E13
403.0, 2384.4166666666533, -4.443975875868378 E13
404.0, 2390.333333333322, -4.632493740698432 E13
405.0, 2396.249999999991, -4.828611348592581 E13
406.0, 2402.1666666666597, -5.0326191203873375 E13
407.0, 2408.0833333333276, -5.244817968435983 E13
408.0, 2413.9999999999955, -5.465519653792492 E13
409.0, 2419.9166666666633, -5.695047154815751 E13
410.0, 2425.8333333333308, -5.933735047536097 E13
411.0, 2431.7499999999977, -6.181929898134993 E13
412.0, 2437.666666666665, -6.439990667898988 E13
413.0, 2443.583333333332, -6.7082891310185875 E13
414.0, 2449.4999999999986, -6.987210305613432 E13
415.0, 2455.4166666666656, -7.277152898375425 E13
416.0, 2461.3333333333326, -7.578529763232227 E13
417.0, 2467.2499999999995, -7.891768374444762 E13
418.0, 2473.1666666666665, -8.217311314563788 E13
419.0, 2479.083333333333, -8.555616777682045 E13
420.0, 2484.9999999999995, -8.907159088430453 E13
421.0, 2490.9166666666665, -9.272429237179428 E13
422.0, 2496.833333333333, -9.651935431918203 E13
423.0, 2502.7499999999995, -1.0046203667299114 E14
424.0, 2508.666666666667, -1.0455778311345753 E14
425.0, 2514.5833333333335, -1.088122271033774 E14
426.0, 2520.5, -1.132311981240012 E14
427.0, 2526.416666666667, -1.1782072810337203 E14
428.0, 2532.3333333333335, -1.2258705804266906 E14
429.0, 2538.25, -1.2753664484626842 E14
430.0, 2544.166666666667, -1.3267616836137297 E14
431.0, 2550.0833333333335, -1.3801253863322702 E14
432.0, 2556.0, -1.4355290338210356 E14
433.0, 2561.916666666667, -1.4930465570839112 E14
434.0, 2567.8333333333335, -1.5527544203230106 E14
435.0, 2573.75, -1.6147317027488097 E14
436.0, 2579.666666666667, -1.679060182871846 E14
437.0, 2585.5833333333335, -1.7458244253465094 E14
